Unnamed: 0,Author_ID,Dialect,Gender,Tweet,Speaker,Listener,BL,S_Label,L_Label,B_Label
4682,ae2ab6134aef1d85dd30ff21735b466b,egypt,female,اعلان بيبسى بتاع المنتخب حلو اوى واحمد شيبه عسل والله 😄,B,B,BB,0,0,0
9331,2025247b020f87af2072f5fa7a304dd1,egypt,female,لا تبحثي عن أحد هو سيجدك ✋,B,B,BB,0,0,0
32392,540c67ca4d2445ad0039fbd18390523d,egypt,male,و بيبيع كل شويه على حسب حجمهم و على حسب الاحسن بالسعر الاغلى بس هو بيشتريهم على بعض,B,B,BB,0,0,0
1672,515073eee02d652dbf67868cf1e43beb,egypt,female,اللهم اغفر لي ولوالدي وللمسلمين والمسلمات الأحياء منهم والأموات ://./7169,B,B,BB,0,0,0
1304,5023c6640e7476d505ba94daeb3417cc,egypt,female,"- "" لن يكون هناك شيء يا صاحبي.. لا اليوم ولا غدًا ولا بعــد يوم..
حياتك حاضر طويييييييييييل قاس.. ""

(يوتوبيا).",B,M,BM,0,1,1
1477,2ef8d0549a03cdbd87e7b64ad87a43f8,egypt,female,"استمع لجديد الفنانة هايدي موسى 🎤
اغنية نقطة ومن اول السطر 🎶
://./
 #المراكبيه_وفولورز_الافتتاحيه",B,B,BB,0,0,0
30970,cc85c484e2e02aa35483857faeea0394,egypt,male,   - اكوا فيستا الغردقة ://./6,B,B,BB,0,0,0
6454,f4bd72d50a0656a359791f7c29ebf364,egypt,female,"""  قلوبنا إن كتمت طويلاً , تغيّرت كثيرًا.""
-نزار قباني.",B,B,BB,0,0,0
36764,ce5ac83a3d35a4eab360fa0bad462b12,egypt,male,@1907 انا معرفكش أصلا يا خالوود بس لاقيت اسمك ع اسمي فقولت ارخم هو انا كده بحب ارخم ع نفسي .. مش كده ولا ايه 😂 انا قلبت احمد الطيب 😂,M,M,MM,1,1,5
8447,af773b6418c5d4778128d5dc0fca97c6,egypt,female,يدبر الأمر ❤ الحمد لله 🙏,B,B,BB,0,0,0
9143,406145079d51f4241ae2d62cea9ffd0f,egypt,female,يا الله :'),B,B,BB,0,0,0
30914,cc85c484e2e02aa35483857faeea0394,egypt,male,@ حقيقه مجربه 😜🌹💋👏💃,B,B,BB,0,0,0
38175,a8e8a0b5b54cffccb160af92f8b024cd,egypt,male,لقد نشرت صورة جديدة علي الفيس بوك ://./3,B,B,BB,0,0,0
5741,e46a101b6e0380d0dec3f134a31d038f,egypt,female,"محمد سعيد كان نفسى يمدحه فيه اكتر من كده عشان يستاهل كلام اكتر بكتييير مميز ومتمكن ومابيعملش مجهود وهو بيغنى خالص تحفه ❤❤
#",B,B,BB,0,0,0
4886,236a23f005ed412f3090b258c55b6de8,egypt,female,الروائي ليس محايدا، وليس معنيا بإصدار الأحكام. إن مهمته عرض الوقائع تاركا لمن يتأملها ويتمعن فيها استنتاج ما يراه أكثر منطقا وعدالة. - منيف,B,B,BB,0,0,0
33409,41a5bd261be0f2c79eea0b7afe318a8,egypt,male,"صـبـآح الـرحـمـۃ عـلـےُ وجـۃ لـم أرهـ مـنـذ زمـن ، صـبـٱح مـلـۓ بـالـمـغـفـرة لـروح غـٱدرتـنـےٌ دون عـودة 😔💔
#أبـےُ ♡",B,B,BB,0,0,0
32452,b6c081fd2faf60432a192d1c8ebbdd22,egypt,male,@ بدليل ان شعاره فارغ تماما بس الغرض منه اللعب على مشاعر الوطنيه ودا شيء يغلب على معظم الاحزاب اليمين المتطرف,B,B,BB,0,0,0
32799,e2f8de32d02f95d3cf3d3adfbda6b1e6,egypt,male,اللهم أنر لنا طريقنا إلي طاعتك وأهدنا وكن معنا ووفقنا إلي ما تحب سبحانك اللهم وبحمدك ://./176,B,B,BB,0,0,0
34960,9db35312d6ed7b43259e69dbd07a6c3,egypt,male,علاج الاعراض العصبية (زوال المايلين) ... الكورتيزون + -... ://./81,B,B,BB,0,0,0
35527,a76950e4785bfa08f3ff8426aaf2f542,egypt,male,دعاء السجود:سبوح قدوس رب الملائكة والروح ://./408,B,B,BB,0,0,0
39963,7e67da434d77ee8f6b5beb9eee302838,egypt,male,"انى افضل المشي فى الشارع وانا افكر فى الله 
على الجلوس فى المسجد وانا افكر فى حذائي.
#الدكتور _ على شريعتى",B,B,BB,0,0,0
2732,1c14c546a0659f4fd8e86bf310321da5,egypt,female,فعلا #صورة معبرة ://./83,B,B,BB,0,0,0
6733,ac41618c6771b9d1e219fc3842e83f10,egypt,female,اللهم اعوذ بك من شر النفاثات في العقد ومن شر حاسد اذا حسد ://./2,B,M,BM,0,1,1
31649,ff0261a77ffaf5d9a0d1cec7ef55d405,egypt,male,"في بورسعيد كلاب لما العسكر فتحوا الباب انطلقوا و الفوضى عمت و قتلوا اغلى الشباب 
74 شهيد ❤
لن ننساكم ❤❤",B,B,BB,0,0,0
2268,907ca2bcf0599ef56fd9c5ff54782a0b,egypt,female,ربِّ أسألك خير ما في هذا اليوم وخير ما بعده ://./,B,B,BB,0,0,0
35117,f23a99bd4d686f9458d81e500e1ffc1,egypt,male,اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبلاً ://./1813,B,B,BB,0,0,0
33082,48a8545f31e81d262164bec1ce3b1e2e,egypt,male,اللهم إررقني قلبا خاشعا ولسانا ذاكرا ://./4,B,B,BB,0,0,0
8693,6a6998df485d76af7161b88c54465676,egypt,female,ألعب لنادى الوطنيه ❤ أهلاوى 😍 ://./531,B,B,BB,0,0,0
7271,464cab9777fb8dbbb1045fef15ffd253,egypt,female,ربِّ أسألك خير ما في هذا اليوم وخير ما بعده ://./5,B,B,BB,0,0,0
5348,2d914c1464956ce4112049926edd3c74,egypt,female,@_25_ @ لول. ده بجد، ولا تريقة؟,B,B,BB,0,0,0
2628,75c2751f49ebe8c45f36874372c19f49,egypt,female,مستعدة اولع في  السجاير ال موجودة في العالم كله عشان مافيش حد يشربها تاني، انتوا فعلاً بتنتحروا. دي لعنه,F,B,FB,2,0,4
33819,9013dc6e19f8c4d7bfb99d031ea81f1f,egypt,male,@ @_ انتم كنتم فالحفلة؟ افتكرتكم رحتوا تسكروا 😄,B,B,BB,0,0,0
31709,9456afee8beee2f714ce9232fd435f91,egypt,male,"لا تجعل الدعاء كالدواء ، لا تستعمله إلا عند المرض والمصيبة فقط !
بل اجعل الدعاء كالهواء ، ادعو ربك في كل وقت [ في السراء و الضراء ]",B,M,BM,0,1,1
38300,634650b12d3444a27860a3d2df8090cc,egypt,male,و ده كان الوضع بعد ٨٤ ساعه صاحي نمت فيهم ٨ ساعات 😂😂 ٣ ايام و نص نزلت… ://./3,M,B,MB,1,0,3
1152,100dd9f15a7098676f89b8889295855d,egypt,female,@2 اه والله مطلع تويتة لنبيل الحلفاوي 😃,B,B,BB,0,0,0
37740,bb95e70fa6b6ae5a0daae8e0b1db033a,egypt,male,#تيران_وصنافير_مصريه شباب مصر المحترم  ربنا يحميكو من كل شر,B,B,BB,0,0,0
37117,b81ee9955c71919204e9f317fdfd13b0,egypt,male,@_20 @99 @318 مبرووك يا رجالة,B,M,BM,0,1,1
8524,3664e315cda8d2309ca6cea39c636104,egypt,female,@ وان هِل أوڤ آن آرجيومنت!,B,B,BB,0,0,0
7392,292abcabce441b4843868fc68e42e564,egypt,female,اللهم امين❤ ://./35,B,B,BB,0,0,0
3145,81894f4f36402eaea57127d2340738f6,egypt,female,حكايه واحد متشابه 😂,B,B,BB,0,0,0
30996,cc85c484e2e02aa35483857faeea0394,egypt,male,"عرض مغري للغردقة 
#اجازات… ://./",B,B,BB,0,0,0
35598,a76950e4785bfa08f3ff8426aaf2f542,egypt,male,يا حي يا قيوم برحمتك أستغيث أصلح لي شأني كُله ولا تَكِلْني إلى نفيس طرفة عين ://./4,B,M,BM,0,1,1
39141,57e598e634d1e847aa2e832e48c03134,egypt,male,لا اله الا انت سبحانك اني كنت من الظالمين,B,M,BM,0,1,1
1963,97e79e7dc0014949ddd6507c2104510e,egypt,female,"﷽
﴿لنحيي به بلدة ميتا ونسقيه مما خلقنا أنعاما وأناسي كثيرا﴾
⬅️ ://./1950",B,B,BB,0,0,0
5848,53bdb7bd2c10be727bbf40e5c1129081,egypt,female,اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل ://./,B,B,BB,0,0,0
37141,b81ee9955c71919204e9f317fdfd13b0,egypt,male,مرتضي منصور خارب الدنيا علي أبو ظبي,B,B,BB,0,0,0
30883,8e1807013e130479422106f90721a209,egypt,male,"#كلمتين_وبس_
كل واحد بيمسك منصب بيعمل اللي عاوزه كأنها عزبة اللي خلفوهم",B,B,BB,0,0,0
33860,9013dc6e19f8c4d7bfb99d031ea81f1f,egypt,male,@__ أنا لسه بنظري و عافيتي، مش للدرجة دي,B,B,BB,0,0,0
32391,540c67ca4d2445ad0039fbd18390523d,egypt,male,ايه ده هو انا بقالي كتير قوي كده مشترش شاي الليبتون بقى بسعر التوينجز ليه ؟,B,B,BB,0,0,0
6186,ffbd42097f49d18b7559750d53e46b0c,egypt,female,"ولو كان العشق لعيونك دوا ..
لعشقتك في كل يوم مئات المرات 💞✌",B,B,BB,0,0,0
33935,fdcf21c012d89341af5e712e696c9670,egypt,male,اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل ://./9,B,B,BB,0,0,0
2242,907ca2bcf0599ef56fd9c5ff54782a0b,egypt,female,الحمد لله الذي أطعمنا وسقانا وكفانا وآوانا فكم ممن لا كافي له ولا مؤوي ://./,B,B,BB,0,0,0
6052,27cdbf8fd3b210f06dc77556dbd89afc,egypt,female,لا اله إلا انت سبحانك اني كنت من الظالمين,B,M,BM,0,1,1
32557,ed3a3e082d2cff8e471e171a8b23e1ee,egypt,male,ربي أعوذ بك من الكسل وسوء الكبر ربي أعوذ بك من عذابٍ في النار وعذاب في القبر ://./75,B,M,BM,0,1,1
3162,81894f4f36402eaea57127d2340738f6,egypt,female,"و حين ذهبت .. أخذت كل الأشياء معك ...
كل النكد و الهم و القرف و الأرق و حرقة الأعصاب و إرتفاع ضغط الدم .. 😌😌",B,B,BB,0,0,0
30328,8a2806518916233ffdee91a980a91926,egypt,male,عليگ أن تگون قاسي القلب .. لتنجو 😞✋,B,M,BM,0,1,1
1642,515073eee02d652dbf67868cf1e43beb,egypt,female,اللهم لا سهل إلا ما جعلته سهلاً وأنت تجعل الحزن إذا شئت سهلاً ://./7169,B,B,BB,0,0,0
5357,2d914c1464956ce4112049926edd3c74,egypt,female,"سؤال والله من غير نوايا خبيثة: هو ليه معظم مشجعي الزمالك في الاستاد بيكونوا ستات مزز وكده، فين الرجالة؟ 
🙈🙈😂",B,B,BB,0,0,0
1732,1fc2e49f03033508bc3af7185437d68,egypt,female," .
مرحلة الصوت و بس.

و بكره، بعد أحلى:)))

# #3… ://./6",B,B,BB,0,0,0
6914,3607630aa830b7c03aa991a27955e620,egypt,female,"أنا و إنتِ جنان رسمى ، 
فى كون مجنون بنسكن فيه 😍 🎶 ://./",B,B,BB,0,0,0
6726,ac41618c6771b9d1e219fc3842e83f10,egypt,female,استغفر الله و الحمدلله ://./2,B,B,BB,0,0,0
4544,64676cd1ea44c7ab71800919dd1c9c0d,egypt,female,مبروك لمصر طيب 💋💝,B,B,BB,0,0,0
37677,10461ae1014ed79def086308df47da26,egypt,male,@10871252 راجعى اللى نزل الكتاب المقدس ....,B,F,BF,0,2,2
37066,15fc380ee1f7be715478f5f62b161e06,egypt,male,انا حاسس ان مورينيو كان هيعيط,M,B,MB,1,0,3
38804,9ed17db6ad73f59a1655608ce6d49d4c,egypt,male,اللهم قني عذابك يوم تبعث عبادك ://./40,B,B,BB,0,0,0
2609,75c2751f49ebe8c45f36874372c19f49,egypt,female,@3 يارب ربنا يشفيه و يقوم بالسلامة,B,B,BB,0,0,0
37645,10461ae1014ed79def086308df47da26,egypt,male,"@ فيه لوا داخلية على  
بيقول أمن الكاتدرائية الداخلية مقصر فى كده",B,B,BB,0,0,0
4722,41591e99496e164e4e884f6fdcb2940b,egypt,female,@_101 @_  تفتكري هنكون عاملين ازاي؟ 😅😂,B,F,BF,0,2,2
5517,a85e10c344bb7a6376b2f17ab9a86108,egypt,female,سُبحان اللّهِ وبحمْده .. سُبحان اللّه العظِيم ♡ ://./788,B,B,BB,0,0,0
36577,30760941ae6127c40521ae38d4aa2c18,egypt,male,جورديولا بقي مفلس فعلا.. فرق لعيبه مش اكتر,B,B,BB,0,0,0
39973,7e67da434d77ee8f6b5beb9eee302838,egypt,male,@ انا بعتذر لحضراتكم لانى اكتشفت ان النت البطئ اللى كنت بشتكى منه مش على شركتكم على شركة تانيه انا بس مسافر علشان كدا مكنتش اعرف,M,B,MB,1,0,3
4618,ae2ab6134aef1d85dd30ff21735b466b,egypt,female,"و يُحكى أنَ هُناك بيوتاً في الجَنةّ 
تُبنى بالذكر فأذكرُوا الله دائماً 🌸",B,B,BB,0,0,0
32406,b6c081fd2faf60432a192d1c8ebbdd22,egypt,male,الواحد نفسه يسمع رشيد غلام  3&;,M,B,MB,1,0,3
34737,6de08a2a8f233a477e5c3b923b16d879,egypt,male,ومين ده اللى تقدر تنسينى حبك  󾍇󾌧󾌧,B,B,BB,0,0,0
37656,10461ae1014ed79def086308df47da26,egypt,male,@ لو وقت حضرتك سمح خلينى اختلف فى نقطة ...غانا اقوى مننا بدنيا بمراحل فمكانش نلعب ماتش ووشنا مكشوف والا كنا اخدنا قاضية بدرى,B,B,BB,0,0,0
39792,3ba1a8dd12bd57b570aaf170779422fd,egypt,male,"ده كلام مش عادي
://./09",B,B,BB,0,0,0
4626,ae2ab6134aef1d85dd30ff21735b466b,egypt,female,وتظل حكمتي المفضلة هي .. اصرف ما في الجيب يأتيك ما في الغيب 🤔,B,B,BB,0,0,0
6009,27cdbf8fd3b210f06dc77556dbd89afc,egypt,female,ماهذا الذي اراه😳 ://./4,B,B,BB,0,0,0
35936,acb1d258efae52eb787f563e9334fca7,egypt,male,(أولئك هم المؤمنون حقا لهم درجات عند ربهم ومغفرة ورزق كريم) [الأنفال:4] ://./7173,B,B,BB,0,0,0
413,f621583308f1db2feb4ec3fe6991ecae,egypt,female,اللهم نسألك رضاك والجنه...,B,B,BB,0,0,0
37144,b81ee9955c71919204e9f317fdfd13b0,egypt,male,وبنات مصر هتقعد تحب طقم الحكام,B,B,BB,0,0,0
35419,ed4c08998d2c094f614ab5a65e60d8b7,egypt,male,اللهم لا تسلط علينا بذنوبنا من لا يخافك فينا ولا يرحمنا ://./7,B,B,BB,0,0,0
2701,1c14c546a0659f4fd8e86bf310321da5,egypt,female,و #الشباب_المصري_محتاج طموح يمكن تحقيقه. اليأس قاتل لكل شيء.,B,B,BB,0,0,0
35784,725fbaf7e177af3627efd6e783da1cff,egypt,male,ربنا اتنا في الدنيا حسنه  وفي الاخرة حسنه  وقنا عذاب الناارر،،،,B,M,BM,0,1,1
32610,9e5106f68e4c696db1dcc097e34986c3,egypt,male,  : كل الجراح ليها دوا - على الحجار (مسألة مبدأ ) .  @ ://./  #,B,B,BB,0,0,0
9762,43107784a123d22e4199160cfc933204,egypt,female,ومين فينا اتعلم ببلاش,B,B,BB,0,0,0
32703,e2f8de32d02f95d3cf3d3adfbda6b1e6,egypt,male,إيمان ://./23,B,B,BB,0,0,0
32368,540c67ca4d2445ad0039fbd18390523d,egypt,male,@ @ على الصوابع و نادره اللي مواكبه انظمه التكاليف الحديثه في العالم,B,B,BB,0,0,0
2464,608c4e8e800887e49536c94fe271d686,egypt,female,@ شئ عجيب,B,B,BB,0,0,0
8659,6a6998df485d76af7161b88c54465676,egypt,female,لقد خلق الله المعاناه حتى تظهر السعاده من خلال نقيضها . فالأشياء تظهر من خلال أضدادها . وبما أنه لايوجد نقيض لله ، فإنه يظل مخفيا .,B,B,BB,0,0,0
32172,4c7c3d82150b1b7418454dbb266ce024,egypt,male,عندي شعور اللي هو عايز انام 87 ساعة متوصلة!!,M,B,MB,1,0,3
8632,6a6998df485d76af7161b88c54465676,egypt,female,النجاح مش انك تبقى ناجح ف حاجه واحده بس ومديها كل طاقتك .. النجاح انك تعمل كذا حاجه ف نفس الوقت وتبقى ناجح فيهم كلهم .,B,B,BB,0,0,0
9364,2025247b020f87af2072f5fa7a304dd1,egypt,female,انا عاوزة اقضي يوم كدا يكون خيالي زي اللي رسمته لنفسي 🙈,F,B,FB,2,0,4
32525,ed3a3e082d2cff8e471e171a8b23e1ee,egypt,male,رضيت بالله رباً وبالإسلام ديناً وبمحمد صلى الله عليه وسلم نبياً ://./75,B,B,BB,0,0,0
39677,873fd1832e27e5c3bfc6839698c562d5,egypt,male,شكرا لكل اللى قالوا فى يوم هنبقى/وكانوا هما اول الراحلين ...,B,B,BB,0,0,0
39587,fa712e87b5ea896974fc295599864147,egypt,male,امتحانات البلوك*😶 ://./1,B,B,BB,0,0,0
33646,90f6732acb9e65ed2329a8efdbc44b1b,egypt,male,المحظوظ هو من اهدته الحياه شخص لا يتغير ابدا😎,B,B,BB,0,0,0
39520,fa712e87b5ea896974fc295599864147,egypt,male,"@_ دايما فيه أمل 
احنا عايشين على امل اصلا وهنموت على امل برده (الى هو الجنة ان شاء الله)",B,B,BB,0,0,0
33472,41a5bd261be0f2c79eea0b7afe318a8,egypt,male,"   👌😉
#فريق_العيله_هيزودك_1",B,B,BB,0,0,0
37233,1c5cb9bd69107d2c8d7f2b039f32316c,egypt,male,@314 ملقيتش الحقن لسه؟,B,B,BB,0,0,0
1102,100dd9f15a7098676f89b8889295855d,egypt,female,@0000 كان المفروض يبلغ فوراً ، البوستات دي بتنرفزي لانها بتنشر بعد فوات الاوان 🙄,B,B,BB,0,0,0
1246,94cfae2bb44b5abd891e0bfd4472068c,egypt,female,قبل ما تسمع عن حد ، اسمع منه.,B,M,BM,0,1,1
8754,6e291f165adf70194d15a8fc4b6d66ed,egypt,female,اللهم احفظني من بين يديَّ ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي ://./5,B,B,BB,0,0,0
8471,af773b6418c5d4778128d5dc0fca97c6,egypt,female,إِذْ نَادَىٰ رَبَّهُ نِدَاءً خَفِيًّا 🙏,B,B,BB,0,0,0
33477,41a5bd261be0f2c79eea0b7afe318a8,egypt,male,"الله يرحمك يابابا 😔 
وحشتني اوووي 💔
15 سنة من غيرك انا بجد محتاجلك كان نفسي تبقي معايا ف لحظه بتعدي 😢💔
بحبك اووي ❤
#قول_كلمه_لابوك_قبل_العيد",B,M,BM,0,1,1
2598,5bc757a30c73d273d0e5b573530033d1,egypt,female,سُبحان اللّهِ وبحمْده .. سُبحان اللّه العظِيم ://./,B,B,BB,0,0,0
36136,b4ee6dee83b81ac8e0e24a4b331fae5e,egypt,male,حدا يقول لدار الريس يجوا ياخدوا جبلهم من شرق الشجاعية، والله الناس تعبت ☹️,B,B,BB,0,0,0
35710,725fbaf7e177af3627efd6e783da1cff,egypt,male,احنا اللى بنتعشم زيادة في الناس الغلط ونرجع نزعل,B,B,BB,0,0,0
2139,d4af3119d43e6479c8945ef208097fe3,egypt,female,ربي اغفر لي ذنبي ://./03,B,B,BB,0,0,0
3795,978e91d61f05d169b328ca4d1e6adb9c,egypt,female,@ لاااا والله مستحييييييل😭💖💖💖,B,B,BB,0,0,0
1473,2ef8d0549a03cdbd87e7b64ad87a43f8,egypt,female,"استمع لجديد الفنانة هايدي موسى 🎤
اغنية نقطة ومن اول السطر 🎶
://./
 #القاده_النفسيه_محتاجه",B,B,BB,0,0,0
9235,798b2055517014c8d66a08d9980495f4,egypt,female,مالك عدلي في ندوة «للأرض شعب يحميها»: السعودية لا تملك وثائق لتذهب للتحكيم الدولي..  ://./5 وبرضه #تيران_وصنافير_مصرية,B,B,BB,0,0,0
5120,f2930294dd99c57d94d648c2d27d97da,egypt,female,".
من غض طرفه آراح قلبه
#غض_بصرك
.",B,B,BB,0,0,0
9658,6d295ca319b69369b45aad3272d2daf1,egypt,female,اللهم أنت ولينا فاغفر لنا وارحمنا وأنت خير الغافرين واكتب لنا في هذه الدنيا حسنةً وفي الآخرة ://./3597,B,M,BM,0,1,1
2450,608c4e8e800887e49536c94fe271d686,egypt,female,@3 من امبارح باللي قفلوها هي و سوق الحميدية !,B,B,BB,0,0,0
32437,b6c081fd2faf60432a192d1c8ebbdd22,egypt,male,أنا مش بحقد بس في عيال معانا في الكليه راحوا أوروبا وانا مش قادر أمسك نفسي !,M,B,MB,1,0,3
34070,813b784e46b3f7a15cf7981fdac40c5e,egypt,male,@_93 @_ @1300 @20171 @0 حسبنا آلله ونعم الوكيل,B,B,BB,0,0,0
39658,873fd1832e27e5c3bfc6839698c562d5,egypt,male,ستظل تسامح من تحب حتى تكرهه بقناعه ✋,B,B,BB,0,0,0
31186,b8472486572e302dc1be801a6e30c844,egypt,male,#شيكابالا_مش_للبيع,B,B,BB,0,0,0
37848,b6efc2fb3e9e320f7b7dcedf68370536,egypt,male,"نفسك تطلع اي يا حبيبي ؟ 
: نفسي اطلع ارهابي زي ابو تريكة كدة و الناس تحبني زي ما بتحبه كده",B,M,BM,0,1,1
33405,41a5bd261be0f2c79eea0b7afe318a8,egypt,male,"لو أستبدلنا مقولة ""للحيطان أذان"" .. بمقولة ""للملائكة أقلام"" لخرج لنا جيل يراقب الله ولا يُراقب الناس 👌💔",B,B,BB,0,0,0
2920,fb5efac1256006fc61b4ce2514a174b4,egypt,female,@7 انا استسلمت ونمت 😅,B,B,BB,0,0,0
6000,27cdbf8fd3b210f06dc77556dbd89afc,egypt,female,ومن دار المسنين لمثواه الاخير لا حول ولا قوة الا بالله 😥.. ربنا رحمه وان شاء الله في مكان احسن.. ://./44,B,B,BB,0,0,0
6970,3607630aa830b7c03aa991a27955e620,egypt,female,"مش عارف حبى ده هيودينى لفين ولا اخرته هتبقى عاملة إزاى ،
بس أنا بحبك ..",F,B,FB,2,0,4
4638,ae2ab6134aef1d85dd30ff21735b466b,egypt,female,طول عمرى مش بحب الكافيه ده والله ربنا ينتقم منكوا يارب .. ://./00,B,B,BB,0,0,0
38745,52b1387bf88373e558440e45cab0cebc,egypt,male,@1 انت مبتفتحش تويتر الا في الامتحانات 😂,B,M,BM,0,1,1
4501,64676cd1ea44c7ab71800919dd1c9c0d,egypt,female,@ لو يعلمون 😂😂😂😂😂😂😂😂😂😂😂,B,B,BB,0,0,0
6773,ac41618c6771b9d1e219fc3842e83f10,egypt,female,اللهم إني أعوذ بك من منكرات الأخلاق والأعمال والأهواء ://./2,B,M,BM,0,1,1
39567,fa712e87b5ea896974fc295599864147,egypt,male,@ ذاكره من تسجيلات دكتور عمر هتنجز معاك,B,B,BB,0,0,0
36090,59edd8bdcc14ead4ad999964a1cbd08b,egypt,male,(أولم يروا إلى الطير فوقهم صافات ويقبضن ما يمسكهن إلا الرحمن إنه بكل شيء بصير) [الملك:19] ://./38,B,B,BB,0,0,0
2694,75c2751f49ebe8c45f36874372c19f49,egypt,female,كان نفسي اروح ://./,B,B,BB,0,0,0
1279,94cfae2bb44b5abd891e0bfd4472068c,egypt,female,طيب لو قلك بحبك و كنتى بتحبيه ايه ردك ؟؟ —  ://./7,B,F,BF,0,2,2
9828,c895c27337f5a768e0b3d5dabbb9731e,egypt,female,@16 بس انا بزعل الناس😔😔💔,B,B,BB,0,0,0
34690,725a4187f48a2dc2060c718c3009ba3a,egypt,male,عزومه امي ليا اما اكون خارج معاها فمشوار حتي لو عزومه بسيطه بيبقي ليها شعور حلو اوي,M,B,MB,1,0,3
2605,75c2751f49ebe8c45f36874372c19f49,egypt,female,الإنتصرات الصغيرة 🍺 ://./,B,B,BB,0,0,0
7087,8b586aca33ff3a8fa88618e6d53b2087,egypt,female,@ مش بجامل والله يا مريم ، ربنا يسعدك دايما😌🙌❤🌷,B,F,BF,0,2,2
5841,53bdb7bd2c10be727bbf40e5c1129081,egypt,female,ربي أعوذ بك من الكسل وسوء الكبر  ://./,B,M,BM,0,1,1
405,f621583308f1db2feb4ec3fe6991ecae,egypt,female,"هناك حاله تدعي """" المصاب بها يعجز عن وصف شعوره أو توصيل ما يحس به للآخرين، وقد يصل لدرجة أنه هو بنفسه لا يعلم ما يشعر به.😒",B,B,BB,0,0,0
7195,678a8d3d4cddc772866a333d565a75c2,egypt,female,@_0 يوم ما هفرح انتي اول واحده هشكرها علي كلامها الحلو ده وياارب يارب نفرح كلنا قريب 😅❤,B,F,BF,0,2,2
37033,15fc380ee1f7be715478f5f62b161e06,egypt,male,@ @501 هوا علميا و مجازا و و شعوريا النجم افضل و اجمل بكتير من القمر لأسباب عديدة,B,B,BB,0,0,0
4165,e28d97942975ec41eb4366a171ad648,egypt,female,فسحة حلوة ://./59,B,B,BB,0,0,0
1705,1fc2e49f03033508bc3af7185437d68,egypt,female,بالعربي بقى 😉 ميرسي ليكوا كلكوا على معايدتكوا ليا. الجزء الأول 😍😍😍 ://./3,B,B,BB,0,0,0
6989,3607630aa830b7c03aa991a27955e620,egypt,female,"انا مابعرفش استغني ، 
بس لو استغنيت ممكن انسي اني قابلتك :)",B,B,BB,0,0,0
7091,8b586aca33ff3a8fa88618e6d53b2087,egypt,female,في خلاط شغال في دماغي من جوه و بجد قرفانة وعاوزة أنام شهر أفصل من كل حاجة😑,F,B,FB,2,0,4
39087,f68d189ae457ca89e0854d58d1cef75b,egypt,male,كسم دي مسافات يا رب قرب البعيد أو عدي الشهرين دول بسرعة :(,B,B,BB,0,0,0
7512,1e701f2188cbae2525c194ee1df9e40,egypt,female,ربنا يرحمه و يجعل مثواه الجنه. ://./,B,B,BB,0,0,0
