Tweet,S_Label,L_Label,B_Label
"استمع لجديد الفنانة هايدي موسى 🎤
اغنية نقطة ومن اول السطر 🎶
://./
 #المراكبيه_وفولورز_الافتتاحيه",0,0,0
   - اكوا فيستا الغردقة ://./6,0,0,0
"""  قلوبنا إن كتمت طويلاً , تغيّرت كثيرًا.""
-نزار قباني.",0,0,0
@1907 انا معرفكش أصلا يا خالوود بس لاقيت اسمك ع اسمي فقولت ارخم هو انا كده بحب ارخم ع نفسي .. مش كده ولا ايه 😂 انا قلبت احمد الطيب 😂,1,1,5
يدبر الأمر ❤ الحمد لله 🙏,0,0,0
يا الله :'),0,0,0
@ حقيقه مجربه 😜🌹💋👏💃,0,0,0
لقد نشرت صورة جديدة علي الفيس بوك ://./3,0,0,0
"محمد سعيد كان نفسى يمدحه فيه اكتر من كده عشان يستاهل كلام اكتر بكتييير مميز ومتمكن ومابيعملش مجهود وهو بيغنى خالص تحفه ❤❤
#",0,0,0
الروائي ليس محايدا، وليس معنيا بإصدار الأحكام. إن مهمته عرض الوقائع تاركا لمن يتأملها ويتمعن فيها استنتاج ما يراه أكثر منطقا وعدالة. - منيف,0,0,0
"صـبـآح الـرحـمـۃ عـلـےُ وجـۃ لـم أرهـ مـنـذ زمـن ، صـبـٱح مـلـۓ بـالـمـغـفـرة لـروح غـٱدرتـنـےٌ دون عـودة 😔💔
#أبـےُ ♡",0,0,0
@ بدليل ان شعاره فارغ تماما بس الغرض منه اللعب على مشاعر الوطنيه ودا شيء يغلب على معظم الاحزاب اليمين المتطرف,0,0,0
اللهم أنر لنا طريقنا إلي طاعتك وأهدنا وكن معنا ووفقنا إلي ما تحب سبحانك اللهم وبحمدك ://./176,0,0,0
علاج الاعراض العصبية (زوال المايلين) ... الكورتيزون + -... ://./81,0,0,0
دعاء السجود:سبوح قدوس رب الملائكة والروح ://./408,0,0,0
"انى افضل المشي فى الشارع وانا افكر فى الله 
على الجلوس فى المسجد وانا افكر فى حذائي.
#الدكتور _ على شريعتى",0,0,0
فعلا #صورة معبرة ://./83,0,0,0
اللهم اعوذ بك من شر النفاثات في العقد ومن شر حاسد اذا حسد ://./2,0,1,1
"في بورسعيد كلاب لما العسكر فتحوا الباب انطلقوا و الفوضى عمت و قتلوا اغلى الشباب 
74 شهيد ❤
لن ننساكم ❤❤",0,0,0
ربِّ أسألك خير ما في هذا اليوم وخير ما بعده ://./,0,0,0
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبلاً ://./1813,0,0,0
اللهم إررقني قلبا خاشعا ولسانا ذاكرا ://./4,0,0,0
ألعب لنادى الوطنيه ❤ أهلاوى 😍 ://./531,0,0,0
ربِّ أسألك خير ما في هذا اليوم وخير ما بعده ://./5,0,0,0
@_25_ @ لول. ده بجد، ولا تريقة؟,0,0,0
مستعدة اولع في  السجاير ال موجودة في العالم كله عشان مافيش حد يشربها تاني، انتوا فعلاً بتنتحروا. دي لعنه,2,0,4
@ @_ انتم كنتم فالحفلة؟ افتكرتكم رحتوا تسكروا 😄,0,0,0
"لا تجعل الدعاء كالدواء ، لا تستعمله إلا عند المرض والمصيبة فقط !
بل اجعل الدعاء كالهواء ، ادعو ربك في كل وقت [ في السراء و الضراء ]",0,1,1
و ده كان الوضع بعد ٨٤ ساعه صاحي نمت فيهم ٨ ساعات 😂😂 ٣ ايام و نص نزلت… ://./3,1,0,3
@2 اه والله مطلع تويتة لنبيل الحلفاوي 😃,0,0,0
#تيران_وصنافير_مصريه شباب مصر المحترم  ربنا يحميكو من كل شر,0,0,0
@_20 @99 @318 مبرووك يا رجالة,0,1,1
@ وان هِل أوڤ آن آرجيومنت!,0,0,0
اللهم امين❤ ://./35,0,0,0
حكايه واحد متشابه 😂,0,0,0
"عرض مغري للغردقة 
#اجازات… ://./",0,0,0
يا حي يا قيوم برحمتك أستغيث أصلح لي شأني كُله ولا تَكِلْني إلى نفيس طرفة عين ://./4,0,1,1
لا اله الا انت سبحانك اني كنت من الظالمين,0,1,1
"﷽
﴿لنحيي به بلدة ميتا ونسقيه مما خلقنا أنعاما وأناسي كثيرا﴾
⬅️ ://./1950",0,0,0
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل ://./,0,0,0
مرتضي منصور خارب الدنيا علي أبو ظبي,0,0,0
"#كلمتين_وبس_
كل واحد بيمسك منصب بيعمل اللي عاوزه كأنها عزبة اللي خلفوهم",0,0,0
@__ أنا لسه بنظري و عافيتي، مش للدرجة دي,0,0,0
ايه ده هو انا بقالي كتير قوي كده مشترش شاي الليبتون بقى بسعر التوينجز ليه ؟,0,0,0
"ولو كان العشق لعيونك دوا ..
لعشقتك في كل يوم مئات المرات 💞✌",0,0,0
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل ://./9,0,0,0
الحمد لله الذي أطعمنا وسقانا وكفانا وآوانا فكم ممن لا كافي له ولا مؤوي ://./,0,0,0
لا اله إلا انت سبحانك اني كنت من الظالمين,0,1,1
ربي أعوذ بك من الكسل وسوء الكبر ربي أعوذ بك من عذابٍ في النار وعذاب في القبر ://./75,0,1,1
"و حين ذهبت .. أخذت كل الأشياء معك ...
كل النكد و الهم و القرف و الأرق و حرقة الأعصاب و إرتفاع ضغط الدم .. 😌😌",0,0,0
عليگ أن تگون قاسي القلب .. لتنجو 😞✋,0,1,1
اللهم لا سهل إلا ما جعلته سهلاً وأنت تجعل الحزن إذا شئت سهلاً ://./7169,0,0,0
"سؤال والله من غير نوايا خبيثة: هو ليه معظم مشجعي الزمالك في الاستاد بيكونوا ستات مزز وكده، فين الرجالة؟ 
🙈🙈😂",0,0,0
" .
مرحلة الصوت و بس.

و بكره، بعد أحلى:)))

# #3… ://./6",0,0,0
"أنا و إنتِ جنان رسمى ، 
فى كون مجنون بنسكن فيه 😍 🎶 ://./",0,0,0
استغفر الله و الحمدلله ://./2,0,0,0
مبروك لمصر طيب 💋💝,0,0,0
@10871252 راجعى اللى نزل الكتاب المقدس ....,0,2,2
انا حاسس ان مورينيو كان هيعيط,1,0,3
اللهم قني عذابك يوم تبعث عبادك ://./40,0,0,0
@3 يارب ربنا يشفيه و يقوم بالسلامة,0,0,0
"@ فيه لوا داخلية على  
بيقول أمن الكاتدرائية الداخلية مقصر فى كده",0,0,0
@_101 @_  تفتكري هنكون عاملين ازاي؟ 😅😂,0,2,2
سُبحان اللّهِ وبحمْده .. سُبحان اللّه العظِيم ♡ ://./788,0,0,0
جورديولا بقي مفلس فعلا.. فرق لعيبه مش اكتر,0,0,0
@ انا بعتذر لحضراتكم لانى اكتشفت ان النت البطئ اللى كنت بشتكى منه مش على شركتكم على شركة تانيه انا بس مسافر علشان كدا مكنتش اعرف,1,0,3
"و يُحكى أنَ هُناك بيوتاً في الجَنةّ 
تُبنى بالذكر فأذكرُوا الله دائماً 🌸",0,0,0
الواحد نفسه يسمع رشيد غلام  3&;,1,0,3
ومين ده اللى تقدر تنسينى حبك  󾍇󾌧󾌧,0,0,0
@ لو وقت حضرتك سمح خلينى اختلف فى نقطة ...غانا اقوى مننا بدنيا بمراحل فمكانش نلعب ماتش ووشنا مكشوف والا كنا اخدنا قاضية بدرى,0,0,0
"ده كلام مش عادي
://./09",0,0,0
وتظل حكمتي المفضلة هي .. اصرف ما في الجيب يأتيك ما في الغيب 🤔,0,0,0
ماهذا الذي اراه😳 ://./4,0,0,0
(أولئك هم المؤمنون حقا لهم درجات عند ربهم ومغفرة ورزق كريم) [الأنفال:4] ://./7173,0,0,0
اللهم نسألك رضاك والجنه...,0,0,0
وبنات مصر هتقعد تحب طقم الحكام,0,0,0
اللهم لا تسلط علينا بذنوبنا من لا يخافك فينا ولا يرحمنا ://./7,0,0,0
و #الشباب_المصري_محتاج طموح يمكن تحقيقه. اليأس قاتل لكل شيء.,0,0,0
ربنا اتنا في الدنيا حسنه  وفي الاخرة حسنه  وقنا عذاب الناارر،،،,0,1,1
  : كل الجراح ليها دوا - على الحجار (مسألة مبدأ ) .  @ ://./  #,0,0,0
ومين فينا اتعلم ببلاش,0,0,0
إيمان ://./23,0,0,0
@ @ على الصوابع و نادره اللي مواكبه انظمه التكاليف الحديثه في العالم,0,0,0
@ شئ عجيب,0,0,0
لقد خلق الله المعاناه حتى تظهر السعاده من خلال نقيضها . فالأشياء تظهر من خلال أضدادها . وبما أنه لايوجد نقيض لله ، فإنه يظل مخفيا .,0,0,0
عندي شعور اللي هو عايز انام 87 ساعة متوصلة!!,1,0,3
النجاح مش انك تبقى ناجح ف حاجه واحده بس ومديها كل طاقتك .. النجاح انك تعمل كذا حاجه ف نفس الوقت وتبقى ناجح فيهم كلهم .,0,0,0
انا عاوزة اقضي يوم كدا يكون خيالي زي اللي رسمته لنفسي 🙈,2,0,4
رضيت بالله رباً وبالإسلام ديناً وبمحمد صلى الله عليه وسلم نبياً ://./75,0,0,0
شكرا لكل اللى قالوا فى يوم هنبقى/وكانوا هما اول الراحلين ...,0,0,0
امتحانات البلوك*😶 ://./1,0,0,0
المحظوظ هو من اهدته الحياه شخص لا يتغير ابدا😎,0,0,0
"@_ دايما فيه أمل 
احنا عايشين على امل اصلا وهنموت على امل برده (الى هو الجنة ان شاء الله)",0,0,0
"   👌😉
#فريق_العيله_هيزودك_1",0,0,0
@314 ملقيتش الحقن لسه؟,0,0,0
@0000 كان المفروض يبلغ فوراً ، البوستات دي بتنرفزي لانها بتنشر بعد فوات الاوان 🙄,0,0,0
قبل ما تسمع عن حد ، اسمع منه.,0,1,1
اللهم احفظني من بين يديَّ ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي ://./5,0,0,0
إِذْ نَادَىٰ رَبَّهُ نِدَاءً خَفِيًّا 🙏,0,0,0
"الله يرحمك يابابا 😔 
وحشتني اوووي 💔
15 سنة من غيرك انا بجد محتاجلك كان نفسي تبقي معايا ف لحظه بتعدي 😢💔
بحبك اووي ❤
#قول_كلمه_لابوك_قبل_العيد",0,1,1
سُبحان اللّهِ وبحمْده .. سُبحان اللّه العظِيم ://./,0,0,0
حدا يقول لدار الريس يجوا ياخدوا جبلهم من شرق الشجاعية، والله الناس تعبت ☹️,0,0,0
احنا اللى بنتعشم زيادة في الناس الغلط ونرجع نزعل,0,0,0
ربي اغفر لي ذنبي ://./03,0,0,0
@ لاااا والله مستحييييييل😭💖💖💖,0,0,0
"استمع لجديد الفنانة هايدي موسى 🎤
اغنية نقطة ومن اول السطر 🎶
://./
 #القاده_النفسيه_محتاجه",0,0,0
مالك عدلي في ندوة «للأرض شعب يحميها»: السعودية لا تملك وثائق لتذهب للتحكيم الدولي..  ://./5 وبرضه #تيران_وصنافير_مصرية,0,0,0
".
من غض طرفه آراح قلبه
#غض_بصرك
.",0,0,0
اللهم أنت ولينا فاغفر لنا وارحمنا وأنت خير الغافرين واكتب لنا في هذه الدنيا حسنةً وفي الآخرة ://./3597,0,1,1
@3 من امبارح باللي قفلوها هي و سوق الحميدية !,0,0,0
أنا مش بحقد بس في عيال معانا في الكليه راحوا أوروبا وانا مش قادر أمسك نفسي !,1,0,3
@_93 @_ @1300 @20171 @0 حسبنا آلله ونعم الوكيل,0,0,0
ستظل تسامح من تحب حتى تكرهه بقناعه ✋,0,0,0
#شيكابالا_مش_للبيع,0,0,0
"نفسك تطلع اي يا حبيبي ؟ 
: نفسي اطلع ارهابي زي ابو تريكة كدة و الناس تحبني زي ما بتحبه كده",0,1,1
"لو أستبدلنا مقولة ""للحيطان أذان"" .. بمقولة ""للملائكة أقلام"" لخرج لنا جيل يراقب الله ولا يُراقب الناس 👌💔",0,0,0
@7 انا استسلمت ونمت 😅,0,0,0
ومن دار المسنين لمثواه الاخير لا حول ولا قوة الا بالله 😥.. ربنا رحمه وان شاء الله في مكان احسن.. ://./44,0,0,0
"مش عارف حبى ده هيودينى لفين ولا اخرته هتبقى عاملة إزاى ،
بس أنا بحبك ..",2,0,4
طول عمرى مش بحب الكافيه ده والله ربنا ينتقم منكوا يارب .. ://./00,0,0,0
@1 انت مبتفتحش تويتر الا في الامتحانات 😂,0,1,1
@ لو يعلمون 😂😂😂😂😂😂😂😂😂😂😂,0,0,0
اللهم إني أعوذ بك من منكرات الأخلاق والأعمال والأهواء ://./2,0,1,1
@ ذاكره من تسجيلات دكتور عمر هتنجز معاك,0,0,0
(أولم يروا إلى الطير فوقهم صافات ويقبضن ما يمسكهن إلا الرحمن إنه بكل شيء بصير) [الملك:19] ://./38,0,0,0
كان نفسي اروح ://./,0,0,0
طيب لو قلك بحبك و كنتى بتحبيه ايه ردك ؟؟ —  ://./7,0,2,2
@16 بس انا بزعل الناس😔😔💔,0,0,0
عزومه امي ليا اما اكون خارج معاها فمشوار حتي لو عزومه بسيطه بيبقي ليها شعور حلو اوي,1,0,3
الإنتصرات الصغيرة 🍺 ://./,0,0,0
@ مش بجامل والله يا مريم ، ربنا يسعدك دايما😌🙌❤🌷,0,2,2
ربي أعوذ بك من الكسل وسوء الكبر  ://./,0,1,1
"هناك حاله تدعي """" المصاب بها يعجز عن وصف شعوره أو توصيل ما يحس به للآخرين، وقد يصل لدرجة أنه هو بنفسه لا يعلم ما يشعر به.😒",0,0,0
@_0 يوم ما هفرح انتي اول واحده هشكرها علي كلامها الحلو ده وياارب يارب نفرح كلنا قريب 😅❤,0,2,2
@ @501 هوا علميا و مجازا و و شعوريا النجم افضل و اجمل بكتير من القمر لأسباب عديدة,0,0,0
فسحة حلوة ://./59,0,0,0
بالعربي بقى 😉 ميرسي ليكوا كلكوا على معايدتكوا ليا. الجزء الأول 😍😍😍 ://./3,0,0,0
"انا مابعرفش استغني ، 
بس لو استغنيت ممكن انسي اني قابلتك :)",0,0,0
في خلاط شغال في دماغي من جوه و بجد قرفانة وعاوزة أنام شهر أفصل من كل حاجة😑,2,0,4
كسم دي مسافات يا رب قرب البعيد أو عدي الشهرين دول بسرعة :(,0,0,0
ربنا يرحمه و يجعل مثواه الجنه. ://./,0,0,0
@_ لا يا صاحبى ولا يهمك 😅 اوعدك من بكرة الصبح انى مش هعمل حاجة ف حياتى غير ريتويت للتويتس بتاعتك 👌😂😂,0,1,1
"""ماترخصش نفسك ، عشان الرخيص مايغليش نفسُه عليك.""",0,2,2
ركلات الترجيييه😱😱✋,0,0,0
وجع الضهر ده صعب اوي,0,0,0
لا ترهق نفسك بالوفاء فالاغلبية زى مانت شايف اوساخ 👌,0,1,1
اللهم لك الحمد حتى ترضى يا كريم ://./2,0,1,1
@ صباح الورد يا حبيبتي 😍😍🌹🌹,0,2,2
"      @  ://./8 تقرير | ""الدراجات النارية كخيار أسرع",0,0,0
يحفظ الله الأمة بالمُصلِحين ولو قل فيها الصالحين (وما كان ربك ليهلك القرى بظلم وأهلها مُصلِحون) ://./21,0,0,0
ما اللقب الذي تفضله للسيد الرئيس السيسي .... ؟,0,0,0
لن يخلو أحد من خصوم حتى الأنبياء عليهم السلام، فليختر الإنسان خصومه! ( وكذلك جعلنا لكُلِّ نبيٍّ عدوّاً من المجرمين ) ://./176,0,0,0
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل ://./75,0,1,1
"مماقرأت:
 ارخِ يدك بالصدقة ، تُرخى حبال المصائب من على عنقك ، واعلم أن حآجتك إلى أجر الصدقة ، أشد من حاجة من تتصدق عليه .",0,0,0
ممكن محدش يقولي مالك عشان انا ماسكة نفسي بالعافية,2,0,4
اللهم عافني في بدني ، اللهم عافني في سمعي ، اللهم عافني في بصري ، لا إله إلا أنت  #أذكار_الصباح_والمساء #,0,0,0
الله يبارك فيك.يا حبيبي ://./,0,1,1
#الحرية_لجمهور_الأهلى,0,0,0
للاسف الموت الايام ديه بقه مجرد ارقام واحصائيات,0,0,0
اللهم اكفني بحلالك عن حرامك وأغنني بفضلك عن سواك ://./80,0,1,1
اللى يمسيكى بالخير يا سامنتا مكان مانتى دلوقتى ♥,0,2,2
@__ و انتي طيبة 😄🌸,0,2,2
هل تعتقد أن محمد صلاح سوف يتوج بكأس الأمم الإفريقية؟. نعم.    ? ://./,0,0,0
اللهم ارحم موتانا وموتى المسلمين اللهم اشف مرضانا ومرضى المسلمين ://./03,0,0,0
@ السلام عليكم، جاتني حوالة من الصين على حسابي لدى السعودي الفرنسي ومعي رقم ، كيف أستلم المبلغ؟,0,0,0
@ @2 لا  خالص، جيت في الشخصين اللي مايتقالش عليهم   خالص. ردي انتي يا سلمى. 😂,0,2,2
أنا متواضعه رغم شعبيتي 💁😢,2,0,4
@_ قريتها بصوت عبلة كامل و فطست ضحك 😂😂😂😂,0,0,0
الدعاء لمن لبس ثوباً جديداً:تُبْلي ويَخْلِفُ الله تعالى ://./,0,0,0
"حبه بيجمعنا وكله بيخدم في مجاله للاخلاص معني ومهما الناس ..  ومهما الناس عننا قالو 🌸💗
 ",0,0,0
الذكرى الخامسةعلي فراقكم لن ننسى من عاشوا على حب هذا الكيان،ومن أحبوا النادي من القلب فرحلوا عنا وظلوا هم في القلب… ://./6,0,0,0
الرد البارد من شخص انت بتحبه ف وقت انت محتاجله ده كفيل يخليك تكرهه,0,0,0
هو انا الوحيد ال  فشخينه اوفرز؟,1,0,3
"@_ هيومان رايتس واتس تدعم الارهاب بدفاعها عن الاخوان تدعم حماس والجماعات الاسلاميه والسلفيه والقاعده وداعش وبوكو حرام،
هم شبكه واحده",0,0,0
الحنين للماضى .. الاشتياق لناس مبقاش ليها ف حياتنا مكان بس واخده ف قلوبنا أكبر مكان .. أيام 💔,0,0,0
@74 @_ طبعا ليكي حق، لكن اللي مش طبيعي اني ارفض إنفاذ القانون علي مخالف في نفس التوقيت، احنا كده بنساند الراشي والمرتشي,0,2,2
"#الميكروباص_وعداد_الفولورز
والسواق مشغل اه لو لعبت يا زهر :",0,0,0
أسأل الله العظيم لي ولكم أن يصرف عنكم ثلاث نار جهنم و عين حسود و غل حقود . ://./38,0,0,0
@_  فعلا,0,0,0
أستغفر الله الذى لاإله إلا هو الحى القيوم وأتوب إليه ://./3,0,0,0
@_ @ وانا من ٥ سنين كنت ساكنه جنب كافيه وكنت بشوف ده بعيني يا امل، اصرار علي كسر القانون ببجاحه وبالفلوس,2,0,4
البنات لوجيك 😂😂 ://./8,0,0,0
دي انجلينا بنت ناس وبطلت تعمل افلام بورنو من زمان 😂 ://./7,0,0,0
"الناس اللى بتقول إن دى أخر بطولة لــ الحضرى
أحب أقولكم
إنسوا
الحضرى هيبقى هو الحارس الأساسى فى بطولة أفريقيا 2029... ://./3",0,0,0
كان نفسى مستقبلى يضيع بطريقة أشيك من كده 😎,0,0,0
"“يكفي المرأة رجلاً واحداً لتفهم كل الرجال، ولا يكفي الرجل مئات النساء ليفهم امرأة واحدة "" ://./6",0,0,0
يارب اكون انا بس اللي حرانه و مايكونش الصيف جاي يارب 😭,2,0,4
@__ و انتي طيبة تسلمي؟ 😂,0,2,2
@020 @_1_ علشان جميله فشخ 😍,0,0,0
اللهم إني أسألك العافية في الدنيا والآخرة و في ديني ودنياي وأهلي ومالي اللهم استر عوراتي وآمن روعاتي ://./11,0,0,0
"#تيران_وصنافير_مصرية
الشعب هو صاحب الارض لا الجيش ولا الرئاسة ولا الحكومة لهم حق التصرف دون رائي للشعب. فحترموه",0,0,0
@ ناطرين ع نااار 😍🔥🔥💥,0,0,0
(ويطوف عليهم ولدان مخلدون إذا رأيتهم حسبتهم لؤلؤا منثورا) [الانسان:19] ://./4,0,0,0
دعاء دخول المسجد:أعوذ بالله العظيم وبوجهه الكريم وسلطانه القديم من الشيطان الرجيم ://./5,0,0,0
لا رب إلا اللّه ولا جميلة إلا أنتِ ✋💖,0,1,1
@_ اتفقنا,0,0,0
برضو مش لاقيه اللي يفهمني ويفهم غلطاتي وسخفتي 😩😩😩,0,0,0
"﷽
﴿ولقد نجينا بني إسرائيل من العذاب المهين﴾
⬅️ ://./1950",0,0,0
قافلين شارع الخليفة المأمون,0,0,0
(أولم يروا إلى الطير فوقهم صافات ويقبضن ما يمسكهن إلا الرحمن إنه بكل شيء بصير) [الملك:19] ://./7173,0,0,0
دعاء السجود:سبحانك اللهم ربنا وبحمدك اللهم اغفر لي ://./1813,0,0,0
: : عااااااااش ://./60,0,0,0
اللهم إني أسألك الجنة وأستجير بك من النار ://./75,0,0,0
"@__ 

تنور فى اى وقت اصلا 😎",0,0,0
انا عايزك بس تكون عارف ببعد و قلبي معاك.,0,0,0
الصبر يا رب ://./206,0,0,0
مثلث المتعة: قهوة ، و خلوة ، و كتاب !,0,0,0
@_4 ايه ده عالصبح بجد 💜❤😍 انا بحبك يا رنرون,0,2,2
"ربنا عليك توكلنا و اليك انبنا و هاجرنا تقبلنا بعملنا الصالح , و اغفر ذنوبنا ://./38",0,1,1
اللهم اني اسالك زيادةً في الدين وبركةً في العمر وصحةً في الجسد وسعةً في الرزق وتوبة قبل الموت ://./2,0,0,0
لا إله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير ://./2,0,0,0
"اللهم صل على سيدنا محمد و على آله و صحبه وسلم
""عدد ما كان و عدد ما يكون و عدد الحركات و السكون"" ،،",0,0,0
@ صحابي كلهم في المهندسين 😂,0,0,0
طول ما أنا في معيتك يارب مش عايزة أكتر من كدا 🙏✋,2,0,4
دعاء دخول الخلاء:{بسم الله} اللهُمَّ إنّي أعُوذُ بِكَ مِنَ الخُبْثِ والخبائِثِ ://./5,0,0,0
دعاء دخول الخلاء:{بسم الله} اللهُمَّ إنّي أعُوذُ بِكَ مِنَ الخُبْثِ والخبائِثِ ://./75,0,1,1
@ مش القضية مرفوعة بصفته ؟ اللى فاهمه إنه معاها,1,0,3
درجة الحرارة في دمياط 7 😂💃💃,0,0,0
@ مدرب ليستر ده راجل خول رسمى نظمى فهمى,0,0,0
@25 لا مش محتاجه تعليم ✋✋ محتاج كلاام طالع من القلب يا ناصحه 👌👌👌,2,2,7
+1 مع اني مبروحهاش كتير ://./95,0,0,0
"@2008 @1 
وانا كلمتك انت ..... انت مرسال ليس الا 😂😂😂😂",0,1,1
يا بنتى عايزنى أقول ايه،واحد طلعلى من وسط العربيات وﻻبس وش عفريت 😱  ده انا قلبى كان هيقف من الخضه 😅 وبعدين كلمه... ://./600,0,2,2
هيا دي ال  اللي هتعللنا ال  👊🏻 ://./,0,0,0
(فإذا جاءتهم الحسنة قالوا لنا هذه وإن تصبهم سيئة يطيروا بموسى ومن معه ألا إنما طائرهم عند الله ولكن أكثرهم لا يعلمون),0,0,0
@_ احمد فتحي ممكن يروح مكانك 😂,0,0,0
"اللهم اهدني فيمن هديت وعافني فيمن عافيت وتولني فيمن توليت
♻️ ://./9",0,0,0
فى الأخير الكل هيصقفلك لو نجحت...حتى الى موقفش جنبك !,0,0,0
اغاني عبدالوهاب 😍,0,0,0
"@__ 
انا 👆

المهم ننفعك علشان انت غاليه عندنا ...... اهو حتي تروحي بدري ولو يوم 😂😂",0,2,2
اللهم اشغلني بذكرك عن كل ذكر وبطاعتك عن كل طاعة ://./2,0,1,1
@ بلحه 😂,0,0,0
"خلينا نقول بصراحة ان وفاة ماما كريمة قفل اليوم قفلة وحشة 
ربنا يرحمها 🙏",0,0,0
يلا يابطل مش هتفرحنا...؟؟؟😂😂😉 ://./859,0,1,1
سبحان الله وبحمده سبحان الله العظيم ://./9,0,0,0
أي حد يحمل مسئولية الخراب الي مصر وصلت ليه لحاجة غير الجيش فهو خول ://./,0,0,0
@ انتحر😂,0,0,0
و احنا مع المشوار عدينا بحور و جبال...❤,0,0,0
استغفر الله ://./38,0,0,0
"عن الكلاب

 ://./9567",0,0,0
@ @ @ @ @77 @_ في افانتي من غير زيت نخيل و حاليا ارخص من بريزدون بريزدون 500 جرام ب 27,0,0,0
"قوانين مورفي لسوء الحظ:

 1- كل شيء يتعطل في الوقت نفسه!

2-يستحيل تحصين أي أمر ضد الأغبياء لأن غباءهم مبدع!

3-... ://./4",0,0,0
اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والبخل والجبن وغلبة الدين وقهر الرجال ://./11,0,1,1
@_ @ يرجع بالسلامه لو ان الريس مابيعرفش ياخد اجازه الاسبوع اللي فات كان في شرم راح الاسعاف فطر معاهم هناك,0,0,0
@_27 انت رايح الأهرامات بكرة الصبح عشان تخش تنام بدري كدة؟ ://./5,0,1,1
" 👌😃
 #البلديه_وفولورز_السوبيا",0,0,0
"١٨ يناير ٢٠١٦ 
اليوم الفارق ف حياتى..
 #مرت_سنة ❤",0,0,0
لما مديرك يقولك لازم تاخد  و تعمل حاجة و انت لسه متعرفوش كويس، افهم انه نصاب قراري و هيبيعك في اول محطة,0,1,1
اللهم لا سهل إلا ما جعلته سهلاً وأنت تجعل الحزن إذا شئت سهلا ://./40,0,1,1
والله العظيم في راجل كبير المفروض انه محترم كاتب الميه رجعت الحمد لله، الله يخرب بيتك يا مرسي.,0,1,1
دعاء السجود:اللهم أعوذ برضاك من سخطك وبمعافاتك من عقوبتك وأعوذ بك منك لا أحصي ثناء عليك أنت كما أثنيت على نفسك ://./,0,1,1
"سبحان الله وبحمده , سبحان الله العظيم , ://./38",0,0,0
سبحان الله العظيم ://./2,0,0,0
"@25  
@10  
شوفتوا دعواااتى عشان بس تعرفوا انى واااصله ياختى انتى وهى ✌✌
عوضتوا خسااره امبارح وفرحتونا الحمد الله 😍😘😘",2,2,7
"انا معاك ان صح المفروض منتعشمش فى حد بس ليه نفترض دايما سوء النية 
ليه ها ليه",0,0,0
هدخل على  الكلية، أدي نفسي أمتياز فكل السنين و أعملي شهادة و بعدين أولع فالكلية. ://./,0,0,0
حسبي الله لا إله إلا هو عليه توكلت وهو رب العرش العظيم ://./4,0,0,0
@_ خلصتى ايه! بقولك الفجر,0,2,2
كس أم حرقة الدم احا,0,0,0
